Geneid,True_Counts,Predict_Counts,Fold_Change,Log2_Fold_Change
ALDOC,117.88,65.1489987433846,-1.8093908160326078,-0.845714796392753
ALDOC,172.51,76.43041804442993,-2.2570856527268743,-1.1640464765066625
ALDOC,81.64,76.77429734131837,-1.0633767136552223,-0.08754679853877903
ANGPT1,148.79,54.82578943315084,-2.713868811345067,-1.4239376600294718
ANGPT1,44.61,54.82578943315084,1.2290022289430809,0.2915815771640224
ANGPT1,69.29,54.82578943315084,-1.2638212913374536,-0.33238770756251484
ANGPT1,73.15,54.82578943315084,-1.3342261143214709,-0.409514945320216
ANGPT1,59.16,54.82578943315084,-1.0790542299830241,-0.1078728196558603
ANGPT1,66.64,54.82578943315084,-1.2154863740038664,-0.27694491238820645
ANGPT1,20.07,54.82578943315084,2.7317284221799123,1.4057414332044709
ANGPT1,32.75,54.82578943315084,1.6740699063557507,0.7260442451962213
ANGPT1,45.05,54.82578943315084,1.2169986555638366,0.2777305910430791
ANGPT1,26.14,54.82578943315084,2.0973905674503,1.0405110266029227
ANGPT2,78.87,41.02779393338623,-1.9223553703144591,-0.9263099832207835
ANGPT2,41.3,35.4658423662376,-1.1645007490169283,-0.2141119424082032
ANGPT2,40.33,38.45676619202056,-1.0487101229111697,-0.06691664358392341
ANGPT2,36.58,41.82640041117655,1.1434226465603212,0.18853535604229377
ANGPT2,20.17,37.41227519802611,1.854847555678042,0.8595461493450571
ANGPT2,49.1,79.92545555041576,1.6278096853445165,0.6917829783420568
ANGPT2,36.32,37.622702285599956,1.0358673536784129,0.0495001215905186
ANGPT2,65.49,34.77627151231472,-1.8831806042464658,-0.8941343354801496
ANGPT2,40.66,37.76919541706933,-1.0765386858525507,-0.10375204444548322
ANGPT2,16.83,38.90865631471608,2.311863120303986,1.1623950025780976
ANGPTL4,75.29,86.72831937024476,1.1519234874517832,0.20154866806170751
ANGPTL4,123.91,86.72831937024476,-1.4287144141583785,-0.5097744444082557
ANGPTL4,53.78,86.72831937024476,1.612650044072978,0.6793933647675917
ANGPTL4,13.38,86.72831937024476,6.481937172664033,2.608978955033672
ANGPTL4,53.78,86.72831937024476,1.612650044072978,0.6793933647675917
ANGPTL4,45.59,86.72831937024476,1.9023540111920323,0.9130223003645126
