Geneid,True_Counts,Predict_Counts,Fold_Change,Log2_Fold_Change
ALDOA,845.24,1978.1457582503551,2.340336186468169,1.2257390809301367
ALDOA,1605.87,2060.218341616086,1.2829297151177157,0.359244119468614
ALDOA,1604.54,2001.531813879918,1.2474178355665289,0.3187665542299724
ALDOA,3137.07,1910.2799440978647,-1.6422043322459163,-0.7153384299138795
ALDOA,1950.01,1899.2859906365504,-1.02670688333064,-0.03800461389793125
ALDOC,101.28,68.89315789473683,-1.4701024469621156,-0.5493009289341417
ALDOC,82.61,68.89315789473683,-1.199103111606836,-0.25852427151745805
ALDOC,47.57,68.89315789473683,1.4482480112410516,0.5250857452837852
ALDOC,73.15,68.89315789473683,-1.0617890402377443,-0.08529546103448576
ALDOC,72.6,68.89315789473683,-1.0538056639953552,-0.07455453463686786
ALDOC,126.26,68.89315789473683,-1.832692880661895,-0.8645558899442041
